,cleaned_job_role,cleaned_job_description,cleaned_skills,skills_extracted
97,Assistant Manager – Customer Experience,"Job Overview:We are seeking a dynamic and customer-centric individual to join our team as an AssistantManager for Customer Experience. As the Assistant Manager, you will play a critical role inensuring that our customers have a delightful and seamless experience throughout theirjourney with our company. Your primary responsibility will be to support the CustomerExperience Manager in overseeing all aspects of customer interactions, focusing onimproving satisfaction, loyalty, and retention.If you are a results-driven leader who is passionate about customer service and has experience leading teams and implementing projects to improve performance, we encourageyou to apply for this exciting opportunity.Key Responsibilities: Customer Support and Communication: Provide exceptional customer support through various channels, including phone, email, live chat, and social media. Address customer inquiries, concerns, and complaints promptly and effectively, ensuring a positive resolution to each interaction. Collaborate with the Customer Experience Manager to develop standardized responses and guidelines for common customer queries. Team Management and Development: Assist in recruiting and onboarding new customer experience team members. Coach and mentor team members to enhance their skills in handling customer interactions and fostering a customer-first culture. Conduct regular performance evaluations and provide constructive feedback to team members to drive continuous improvement. Customer Journey Analysis: Analyze customer interactions and feedback to identify pain points and areas for improvement in the customer journey. Work with cross-functional teams to implement improvements to products,processes, and services based on customer feedback. Quality Assurance and Monitoring: Implement quality assurance measures to ensure consistency and excellence in customer interactions. Monitor and review customer interactions to ensure compliance with company policies and procedures. Customer Retention and Loyalty: Develop strategies and initiatives to enhance customer loyalty and retention. Proactively engage with customers to identify opportunities for upselling and cross-selling. Data Analysis and Reporting: Utilize customer data and feedback to generate insightful reports and metrics on customer experience performance. Present findings and recommendations to the Customer Experience Manager and other stakeholders. Process Improvement: Collaborate with relevant departments to streamline customer-relatedprocesses and workflows. Implement best practices and innovative approaches to enhance overallcustomer satisfaction.Requirements: Minimum of 2 years of experience in a customer service leadership role and anAssistant Manager. Proven experience in customer service or customer experience management, with atleast 4+ years in a supervisory or team leadership role. Excellent communication and interpersonal skills, with the ability to empathize andbuild rapport with customers. Strong problem-solving and conflict resolution abilities. Analytical mindset with the ability to use data to drive decisions. Proficiency in customer service software, CRM systems, and other relevant tools. Leadership qualities with a focus on team collaboration and development. A passion for delivering exceptional customer experiences and a customer-centricmindset.",MS- Excel|Team management|communication and interpersonal skills|analytical and problem-solving skills|Outbound process management,"['AssistantManager', 'CustomerExperience', 'Key Responsibilities', 'Team Management and Development', 'Quality Assurance', 'Customer Retention', 'Data Analysis']"
98,Marketing Specialist,"We are seeking a talented and passionate full-/me Marke/ng Professional to join She Capital- a VC fund focussed on women led startups. The ideal candidate will have a background inmarketing, content creation, and community management. As a Marketing Professional, youwill be responsible for developing and executing marketing strategies to promote our brand.Your primary focus will be on creating compelling content that resonates with our targetaudience and building and engaging with our community.Key Responsibilities:- Develop and implement marketing strategies that align with our business objectives andbrand positioning- Create compelling content across various platforms, including social media, blogs, emailnewsletters, and other marketing collateral- Manage our social media channels, including creating and curating content, schedulingposts, and responding to comments and messages- Build and engage our community through events, webinars, and other engagementinitiatives- Analyze and report on marketing metrics to track the effectiveness of our campaigns andmake data-driven decisions",Bachelor's degree/ Internship experience in Marketing|Communications|or a related field|Preferable experience in marketing|content creation|and community management|Excellent written and verbal communication skills along with well-versed usage of platforms like Canva|Strong understanding of social media platforms and digital marketing strategies|Ability to work independently and manage multiple projects simultaneously,"['Marke/ng Professional', 'VC']"
99,Content & Design Associate,"Overall ResponsibilitiesDesigning, creating, and executing quality social media content including ads, press releases, social media releases, pitches, and blog posts Consistently brainstorming and collaborating with team for new ideas and strategiesBuilding a following for the brand on social media with creative work Creating compelling headlines and body copy that will capture the attention of the target audienceIdentifying customers needs and recommending new content to address gaps in the company's current contentCome up with valuable ideas or suggestions and catchy captions for social media postsInvolvement in all aspects of the communications and marketing initiatives/objectives with a high standard of initiative, creativeness, efficiency, and economyRequirements In-depth social media know-how (Primarily Instagram + YouTube, Facebook, Twitter, and forums/discussion groups like Quora)Flair for writing crisp and effective copyKnowledge of Canva/Photoshop/video editing tools is an advantage Excellent verbal and written communication skillsCreative and innovative thinker and planner Confident in producing work across multiple platforms An intent & effort to learn and grow holisticallyWhy should you consider us seriously?We are reimagining the why, what, and how of our education system.We empower students to figure out what matters to them and how to capitalize on their talents, skills, and mindsets.If you have ever had to set aside your passions because you had to choose the safe option - avenge yourself now!All of our employees are superheroes - Fundamentally, we believe in people and our ability to change the world. All of us at The Big Red Group have a vision for how we would radically move the world forward and do audacious things - if you are a dreamer and a doer - you should consider joining us!",,"['Facebook', 'Canva/Photoshop', 'The Big Red Group']"
100,Lead UI Designer,"Job Responsibilities:Love for creating aesthetic interfaces with minimal design. We love Dieter RamsHighly proficient in visual design principles (Typography, Visual weight, Color theory among others) and experience applying them in web and mobile projectsAs a lead, excellent organizational, time and project management skillsOutstanding attention to detail, Artistic eye for design & Ability to think creativelyAbility to create, mockups & Prototype UI quickly to iterate with users & stakeholdersEnthusiasm to learn, iterate and improve, humility to take design critique objectivelySkills Required: UI Designers, Candidate Attributes:5+ years of experience as UI Designer or a similar role with leading a small teamProven experience (backed by a portfolio) with responsive visual interface design- demonstrating proficiency in layouts & grid systems, visual hierarchy, accessibility, animation, etc.Hands-on experience creating UI Design, prototypes, storyboards, micro interactions, etc.Experience designing complex applications for mobile and webAn understanding of the latest trends and their role in a Fintech environmentAware of capabilities and limitations of Web technologies such as HTML, JavaScript, and CSS.",,"['Visual', 'UI Designer', 'layouts & grid', 'UI Design', 'Fintech', 'HTML', 'JavaScript', 'CSS']"
101,Vendor Development Manager,"The Vendor Development Manager is responsible for developing and managing the company's vendor network. They are responsible for identifying and sourcing new vendors, and ensuring that vendors meet the company's quality and performance standards. They also work closely with other departments to ensure that the company's supply chain is efficient and effective.In addition, the Vendor Development Manager is responsible for building and maintaining strong relationships with vendors. This includes communicating regularly with vendors, resolving any issues that may arise, and providing feedback on vendor performance.Responsibilities: Identify and source new vendors.Build and enhance business relations with vendors.Ensure that vendors meet the company's quality and performance standards.Work with other departments to ensure that the company's supply chain is efficient and effective.Monitor vendor performance and identify opportunities for improvement.Develop and implement vendor onboarding programs.Conduct vendor audits.Build and maintain strong relationships with vendors.",Mfg experience from fabrication or precision manufacturing or both|Vendor sourcing|development & management|exposure to domain casting|forging|sheet metal|machining,"['The Vendor Development Manager', 'the Vendor Development Manager']"
102,Sr Backend Golang/NodeJs,"At Density, we are proud to be an Equal Opportunity Employer. We celebrate diversity, value our differences, and are committed to creating an inclusive environment for all employees. Other than that, we believe in horizontal structure, zero politics and we are offering -Create your own work schedule No decided work hoursNo question asked VacationsHorizontal structureHealth CoverESOPs for allSelf-development Academy Sessions from experts/code, quant campsFree Medical Treatment for you and your familySponsored Foreign tripsTech Gadgets to everyoneTeam outings, hobby clubs, celebrations, and parties",,"['VacationsHorizontal', 'Academy Sessions', 'Medical Treatment for you']"
103,Senior React Native Developer,"About Thrive:At Thrive, we are constantly looking for talented individuals to join us on our quest to help restaurants succeed online. Were looking for a person who is not afraid to wear many hats and enjoys a culture of freedom and responsibility. You will be given the trust and authority to try different things, explore ideas, fail, learn, adapt, and try again. Were a small team (think David) creating a food-delivery platform that is going up against large aggregator platforms (think Goliath). If you are someone who also wants to get their hands in different parts of the product, then a role at Thrive is perfect for you!You are excited about this opportunity because you will:Work on developing cutting-edge apps that provide an immersive and interactive experience for users.Develop React Native applications for both iOS and Android.Leverage native APIs for deep integrations with both platforms.Create UI Screen and Modules in both iOS and Android and integrate with React Native applications.Diagnose and fix bugs and performance bottlenecks for performance that feels native.What we are looking for:At least4years of experience with React Native.Deep understanding of React Native architecture and have built complex and scalable apps for both iOS and Android.Proficient in JavaScript, TypeScript, CSS and React.js and have a passion for writing clean and maintainable code.Worked with REST APIs, GraphQL, and WebSockets.Being able to work with key positions across the technical department, including product and UI&UX designers.Experience with deployment of applications on App Store and Play Store is a plus.Good debugging and problem-solving skills. Ability to conduct research and come up with solutions.Ability to multitask, organize, and prioritize work.Eager to learn new technologies for app enhancements.Prioritizes app performance and aesthetics.Experienced in unit/integration testing.At Thrive, were working towards an ambitious vision and in order to achieve that its imperative to build an open, transparent, value-driven culture. In that effort, we have tried to encapsulate nearly all the policies and practices that we use and plan to implement.Why join Thrive?Freedom&ResponsibilityTransparencyA remote-first organizationUnlimited leavesLearning/Education AllowancesHolistic GrowthAnd much much more.To get to know us better, take a look around our digital Company home:https://lnkd.in/ePASFfnCThe Company Home gives anyone the comfort to understand, even from really far away, what we are trying to achieve with Thrive as a platform, but more importantly as an organization.",React Native|JavaScript|TypeScript|CSS|React.js,"['Thrive', 'Create UI Screen', 'React Native', 'React Native', 'JavaScript', 'TypeScript', 'CSS', 'React.js', 'GraphQL', 'WebSockets', 'UI&UX', 'Company Home', 'Thrive']"
104,QA Manual,"Your day-to-day Analyzing users stories and/use cases/requirements for validity and feasibility execute all levels of testing (Smoke, Unit, Integration, and Regression) Detect and log software defects and inconsistencies. Collaborate with Product design and Engineering team You will be responsible for quality assurance of our products which span the following areas: Client facing E-commerce mobile app (Android) Internal web based dashboards. Apply quality engineering principals throughout the Agile product lifecycle Work with cross-functional teams to ensure quality throughout the software development lifecycle Conduct post-release/ post-implementation testing",,"['Regression)', 'Android']"
105,Senior Visual Designer,"Must have: A creative mind with strong interests and taste for producing pixel perfect designsolutions Strong problem-solving skills through visual design Always create design solutions with an user centered approachWhat You will Do: Create a Design &amp; Visual Communication Language and Best Practices Create Innovative Design Solutions, Intuitive UX and Technical Requirements Communicate Design and Values effectively with stakeholders Collaborate with the Teams to Critically Frame the Design ProblemsWhat You have Got A strong portfolio of work showcases the above qualities 8+ years of experience Strong Communication and interpersonal skills Organized and with high attention to detail Be skilled working in Figma Adobe Suite etc. Be opened to receiving feedback and constructive criticism A sense of humor!Key WordsVisual Design, Figma, Adobe",,"['Create a Design &', 'Visual Communication Language and Best Practices Create Innovative Design Solutions', 'Intuitive UX', 'Strong Communication', 'Organized', 'WordsVisual Design', 'Figma', 'Adobe']"
106,Inside Sales Exec/Sr. Exec.,"Onsurity is a rapidly growing employee healthcarebenefits platform that provides flexible and customised healthcare subscriptions for SMEs,start-ups, and enterprises. We believe that access to healthcare benefitsshouldnt be a luxury. It is this philosophy that has strengthened ourcommitmenttowardsmakinghealthcareaffordable and accessiblefor all. Our subscriptions include discounts on medicine orders, health checkups, fitness plans, free doctor teleconsultations, and insurance, among other benefits.We believe in inclusivity which meansour plansare notlimited to full-time employees. Wealsocovercontractual workers, interns, freelancers, and consultants. We encourage you toread more about usonwww.onsurity.com. You can also find us onLinkedIn,Instagram, and YouTube. Job Description: Strong communication and interpersonal skills with aptitude in building relationships with professionals at all organizational levels. Prior experience working in a B2B Saas/ CRM/ERP Sales background. Highly energetic Individuals who are always willing to stretch their boundaries at Work Target Driven folks who will not stop or settle for anything lesser than their assigned Targets Ability in problem-solving and negotiation Strong listening and presentation skills Ability to multi-task, prioritize, and manage time effectively Minimum 6 months of experience in inside sales team. Graduation in any subject. Responsibilities: Call customers who have shown interest in Onsuritys products through various acquisitions channels and convert leads to sales. Generate sales through cold calling on data provided by the company. Acquire a thorough understanding of customer needs and requirements. Expand the relationships with existing customers by upselling other relevant products. Serve as the link of communication between customers and internal teams. Route qualified opportunities to the appropriate on-ground sales team for further development and closure. Coordinate with Internal Stakeholders to ensure delivery of the highest standards of Customer Experience.",Communication skills|relevant skills,"['Wealsocovercontractual', 'Instagram', 'YouTube', 'Work Target Driven', 'Internal Stakeholders', 'Customer Experience']"
107,Performance Marketer,"Skill requirements for this role:2+ years of experience working with Paid Search and Google Ads either from an agency or a high-growth startupA deep understanding of Google Ads, Google Analytics, bid management and attributionA deep understanding of Facebook Ads ManagerA highly quantitative, analytical mindset and a technical doer with the ability to process and understand large data setsStrong writing, communications, and time management skillsA motivated, creative team-player with an entrepreneurial spirit, and a growth-mindsetEnglish, - fluent verbal and written is a must",,"['Google', 'Google Ads', 'Google Analytics']"
108,Full Stack Engineer,"Plan, design, implement and ship new products and features at a fast cadence agnostic to platformsand endpoints. Focus on code quality, new technologies, sound architectural and design decisions Take opinionated but data-backed decisions that impact end-user experience through design,aesthetics, speed or simply efficiency. With time, grow into a role where you can expand the team's overall knowledge by creating niche areasof expertise and being a resident consultant Expand expertise to multiple stacks and platforms. Write tests and audit and review code for best practices, vulnerabilities and missing finer details thatmake for the most delightful experience possible for our users.",NodeJS|Python|K8s|MySQL|React,[]
109,Retention Manager,"About Us:Supertails.com is a first-of-its-kind platform that supports the ever-increasing pet parent community by providing trustworthy veterinary care and a one-stop solution for pet food and supplies.Supertails.com is differentiated by its unique proposition of being a fully digital teleconsultation service made available through a team of highly experienced in-house veterinarians and behavior experts. With doorstep delivery services available across the country, the brand aims to bring pet parents closer to the largest assortment of pet supplies from India and across the globe.What you will do:Responsible for key KPIs of customer retention, frequency, Average order value of returning customers, LTV, conversion ratesWill be responsible to improve retained users / driving repeatDrive and monitor A/B and multivariate experiments to optimize key performance metricsResponsible for designing engaging customer journeys and loyalty programs to improve customer experience over the longer termManaging strategy and communication across all customer touchpointsExecuting the strategy across touch points in coordination with the acquisition team, customer delight, product, brand, supply chainCreating the required communication across channels in terms of content, video, text, audio, images, etc as required in coordination with the agency /in-house teamConducting customer research, survey, direct customer calls, and visits to understand customer feedback, profile, reasons for drop off, needsTesting, along with evolving our segmentation strategy and scaling our loyalty program to create a best-in-class experience for our customers.Work closely with key stakeholders in creative, marketing, technology vendors and more to develop and execute initiatives that drive customer loyalty and engagement.Develop robust measurement strategies both at the campaign level and at the customer segment level, to measure the short-term and long-term impact of communication/retention strategiesQualifications1+ years of work experience in e-commerce, growth functions, and product marketing (start-up experience preferred)Strong analytical skills, data orientation, and excellent written and oral communication skillsBachelors degree in Business, Marketing, or CommunicationsGood understanding of customer journeys - Retention journeys, website experience, delivery experience, etcExperience working with internal and external partners for increasing the lifetime value of customersGood understanding of multi-channel campaigns across email, push, in-app, WhatsApp, etcProven track record of growing and analyzing CRM/retention programs and experience in CRM tools like Clevertap, MoEngage, Adobe, etc.Strong foundation in cross-sell/upsell strategiesShopify experience is a plus",MS-Excel|Data-driven|CleverTap|CRM Tools,"['Supertails.com', 'LTV', 'Business, Marketing', 'CommunicationsGood', 'WhatsApp', 'etcProven', 'MoEngage', 'Adobe']"
110,Head of Compliance,"As the Head of Compliance at Hatio Innovations Private Limited, you will be responsible for overseeing and managing all compliance-related activities to ensure we operate within the framework of Indian regulatory requirements and international best practices. You will be a key player in maintaining the integrity of our operations and fostering trust with our customers and stakeholders. You will also act as the principal officer and primary point of contact for regulatory authorities and bodies including the FIU-IND, RBI, etc.Key Responsibilities:Regulatory compliance framework: Develop, implement, and continuously update compliance policies and procedures to ensure adherence to all relevant laws and regulations.Provide compliance support to stakeholders at various levels of the organisation to resolve compliance queries, strategize on new products and ensure compliance.Regulatory & policy developments: Closely monitor payments and fintech regulatory landscape for developments, provide insights on these and their impact on company strategy to internal stakeholders, support with drafting and communications with external stakeholders.AML/KYC: Oversee the development and maintenance of robust Anti-Money Laundering (AML) and Know Your Customer (KYC) procedures. Ensure that customer due diligence processes are thorough and efficient.Liaison with Authorities: Act as the primary point of contact for regulatory authorities, responding to inquiries, requests, and audits in a timely and efficient manner.Compliance Monitoring: Implement and manage a compliance monitoring program to detect and prevent violations. Investigate and report any suspicious activities to appropriate authorities.",Bachelor’s degree in law|finance|business administration|or a related field|5 years of relevant experience in managing AML/ CFT and Fraud Risk management team.|Familiarity with and exposure to laws relating to payments|fintech and banking and Virtual Digital Assets including RBI and NPC|Specifically looking for profiles who have liasoned with FIU-IND with reporting.,"['the FIU-IND', 'RBI', 'Key Responsibilities:Regulatory', 'Develop', 'Regulatory &', 'AML', 'AML']"
111,Product Designer,"What you will do:- You Will work as part of a cross-functional team: where design, product, engineering, accounts, legal, and sales come together to iterate existing products and invent new ones.- You Will talk with users: identifying their core problems, empathizing with their needs, and translating these into perfectly designed solutions.- You Will drive a culture that deeply values design, quality, and craftsmanship: You will help your teammates understand that everything we do -- from using appropriate design practices, to creating a beautifully designed workspace, to having delightful 404 pages -- speaks to our brand and affects how users view us.- You Will be an end-to-end designer: You will fill whiteboards with ideas and wall upon wall with post-its, thinking deeply about interactions, user flows, and how the product will organically grow. You will never be handed wireframes by a product manager and told to make them look pretty.- You Will prototype early and often : From paper prototypes to animations, to design in Sketch, Figma, you will dive in and build.- You Will take ownership of projects and manage multiple priorities against deadlines: If you see something that needs attention, you will take the initiative to make sure it gets addressed, regardless of whether it formally falls on your plate.",,"['Sketch, Figma']"
112,Sales Associate,"Responsibilities :Set practical growth targets and achieve them by managing a sales team.Tracking inventory and managing stock.Design and implement a strategic business plan that targets the company's existing and potential customer base.Present sales, revenue, and expense reports and realistic forecasts to the management team.Identify emerging market trends and shifts, while being fully aware of new products and rival companies.",,[]
113,Learning Operations Associate,"Roles & Responsibilities- Onboard learners into the program and ensure they have a great onboarding experience.- Plan and work with program managers and mentors on designing the schedules for the program and implementing the same.- Host and moderate live sessions for the learners in the program, ensuring the highest quality and value for the learners.- Execute effective feedback mechanisms to understand the health of the cohort and keep a tracker for the same.- Work with other stakeholders closely and help in executing timely communications with the learners.- Assist in any other ad-hoc tasks to keep the programs running in a smooth manner.Key skills: 1. Hosting and moderating live engagements on Zoom2. Attention to detail and tech-savviness to work with various tools.3. Hand-on experience with the basics of excel.4. Community management",,[]
114,BDM - Fabrication,"Identify and target potential customers within the target market for generation of structural fabrication business opportunities for the fabrication business vertical with clients from EPCs, PSUs & Steel and Power Plants.Regularly Meet leads to convert them into clients.Understand Custiv's strategic advantages and create sales strategies accordingly.Prepare and deliver presentations, sales proposals, negotiate pricing and terms, and close deals.Build and maintain strong relationships with key decision-makers and influencers in target organizations.Win deals and projects by managing client RFQs and clients by during sales cycle.Own the sales pipeline and convert maximum orders to meet or exceed sales targets.Convert RFQs into deals and development projects into production projects by using sales strategiesCollaborate with the engineering and production teams to ensure that customer requirements are understood and met.Actively engage in market research to identify industry trends, competitor activities, and new market opportunities.Understand client's product & expansion strategies to create suitable offerings to generate new business, RFQs.Follow up with clients for recurring orders to ensure maximum billing possible.Understand industry trends to create more business with existing and potential clientsProvide regular sales reports, forecasts, and updates to the management",Experience in handling EPC Clients|Steel & Power Plants Clients and PSU Clients,['& Steel and Power Plants']
115,Human Resource Associate,"About Us:Supertails.com is a first-of-its-kind platform that supports the ever-increasing pet parent community by providing trustworthy veterinary care and a one-stop solution for pet food and supplies.Supertails.com is differentiated by its unique proposition of being a fully digital telehealth consultation service made available through a team of highly experienced in-house veterinarians. With doorstep delivery services available across the country, the brand aims to bring pet parents closer to the largest assortment of pet supplies from India and across the globe.What you will do:Recruitment and Talent Acquisition - source and coordinate the hiring process in each department.Ideating and executing employee engagement activities, and driving innovative HR Initiatives.Coordinating with teams for Payroll and insurance.Creation and implementation of HR policies,and conducting training sessions for them.Ensuring employee safety, wellness, welfare, and health and dealing with employee grievances.Taking care of end-to-end onboarding and exit process for employees.What we offer:Competitive salaries.A well-planned insurance cover for you and your family.A team of smart, empathetic, and ambitious people who genuinely want to make a difference in the pet care space.A culture of ownership and mutual care so you do not just learn, but also thrive.Eligibility:Bachelor in a relevant field of study, Masters Degree (Optional but preferred) in relevant disciplines.2-3 years of experience in the human resources field.Comfortable with working in a startup environment.Past experience working on KekaAbility to coordinate and work as a part of the team.Efficiency in time management, multi-tasking, and can handle working under pressure.Good knowledge of Microsoft Office Suite, Google Sheets, and Google Forms.Location: Bangalore, Indiranagar (6 days working in-office)",MS-Excel|Communication Skills|Keka,"['Supertails.com', 'KekaAbility', 'Microsoft Office Suite', 'Google Sheets', 'Google Forms']"
116,Sales Analytics Manager,"Reporting:Design and create daily, weekly, monthly reports using Sales CRM data with metrics to monitor the sales process performance, individual FTE performance, and team performancePrepare dashboards with appropriate automation using the CRM, Google Sheets, SQL and PythonCreate appropriate API and data connections between CRM, calling tools, and various tools to enable tracking and analyticsMarketing Analytics: Create reports that monitor the impact on sales by organic and inorganic marketing activities, campaigns, target groups, & channels, which may include Online Ads, SEO, SEM, SMS, Email, Tele-calling, IVR, Chat, App conversions, etc.Strategy & Analysis:Continuously analyze and daily monitor the reports, lead generation data, sales agent performance data, and payment collection dataDevelop a strong understanding of different customer segments, appropriate products, and their sales journeysAnalyze data to derive actionable insights to optimize marketing & sales funnel, identify leakages & gaps, improve each sales FTEs & teams performance, and increase response & conversion ratesAlert sales team management & FTEs for action on detected optimization requirements, leakages, gaps, immediate customer issuesDiscuss remediation strategies with sales managers with an open mindPresent clear recommendations backed by data to leadership for approvalImplement optimization strategies & experiments within the sales teamDevelop reports to track the success of all new sales optimization initiativesPresent sales data-driven insights to the marketing team and brainstorm to identify new marketing funnel & campaign experimentsSupport marketing team in conducting new experiments and A/B tests and scale the successful initiativesData Management:Regularly monitor CRM data quality, propose methods to improve & enrich data quality with the objective of improving each leads experience and conversion probabilityManage leads data in the CRM, and allocate leads to different sales team members based on clearly defined criteria and strategies approved by managementEnsure that all data security compliances are followedPast Experience & Key Skills RequiredPassionate about sales & marketingBachelor's DegreeAt least 2+ years of relevant experience in analyticsSales/business development experience in a team environment, a plusHypothesis-driven thinker with a proven track record of providing actionable insightsExperience with data analytics and & reporting toolsAbility to effectively communicate through written reports and oral presentations with all levels of managementStrong project management skillsAbility to manage & lead multiple projects simultaneously in a fast-paced environmentStrong team collaboration skillsProficiency in MS Excel, Google Analytics, CRM tools, Statistical Analysis Softwares, Coding interfaces like SQL, Python, etc.Cultural FitYou love what you do: Everyone in the organisation is so passionate about what they do that the energy is contagiousYou respect everyone as good work relationships are built on mutual respectYou have a non-zero-sum mindset: You are not competing with anyone and believe in working together as a team towards a common goalYou are an open communicator: You believe in full transparency and open conflict resolutionYou are a hustler: You have a never-ending urge to move out of your comfort zone and learn as much as you canYour key values include integrity and kindnessAdditional RequirementsThis is a work from home/hybrid role.Integrity, professionalism, team collaboration, full dedication, and availability during the assigned working hours are paramount.Dedicated and separate high-speed Internet with at least 20 Mbps download and 5 Mbps upload speeds (no wireless or mobile-phone internet)Secure home office, free from major distractionsKeep company work & data 100% secure and not visible/accessible to any unauthorised person.",,"['FTE', 'Google Sheets', 'SQL', 'PythonCreate', 'API', 'SEM', 'IVR', 'Strategy & Analysis', 'management & FTEs', 'initiativesData Management:Regularly monitor CRM', 'Experience & Key Skills RequiredPassionate', ""& marketingBachelor's"", 'DegreeAt least 2+ years', 'MS Excel', 'Google Analytics', 'SQL', 'Mbps']"
117,Informative Content Writer,"Who you are: You Are passionate about everything Crypto and Web3.0 You take ownership and have a thirst for excellence with an impact driven and result oriented mindset. You thrive on change, have attention to detail and passion for quality You love exploring new ideas to build something useful and are always curious to learn.What you will do: Working knowledge and experience with SEO-Friendly copywriting across multiple content formats (Web, Youtube, Twitter, & other digital channels and platforms) Understanding the core needs of users & building evergreen highly engaging content along with a well-rounded distribution strategy. Maintaining best practices and developing online content in line with the brand vision, style, voice, tone, and compliance guides. Writing, proofreading, restructuring, editing, and publishing articles on our website and related pages using SEO best practices. Conduct detailed keyword research, Identify the most effective key phrases via search and Google Search Console learnings to build a strong internal linking architecture. Working collaboratively with Web, Product, Creative, Brand, and other Marketing teams along with ensuring effective management with all given projects and content workflows. Stay up to date on crypto industry trends to Research for new content categories/buckets to improve search visibility across different marketing channels (Website blog, App, Youtube)",,"['SEO-Friendly', 'users & building', 'SEO', 'keyword research', 'Google Search', 'Brand', 'Research']"
118,Operations Manager,"Candidate will be responsible for overall smooth operations of the company which involves leading supply chain, dispatches and Inventory management. Core responsibilities would be as follows: -Overall Smooth functioning of Dispatches for all channels-Inventory management for RM and Packaging-Reporting structure for all dispatches and GRNs-Predicting Demand in coordination with Offline, 3P and online channel heads-Coordinating with Production and Dispatch team for daily updatesSetting up systems and processes for better inventory and warehouse management.",data analytics|inventory management,"['Inventory', 'Packaging-Reporting', 'GRNs-Predicting Demand']"
119,Project Manager,"Project managers responsibilities include the coordination and completion ofprojects production on time. Oversee all aspects of projects planning and executionfrom the start to completion. Set deadlines, assign responsibilities and monitor andsummarize progress of project. Should have goodknowledge in ManufacturingProcess which includes Precision Machining, Die Casting, Investment Casting,Forging, Sheet Metal fabrication, Structural Fabrication etcResponsibilities: Coordinating resources and vendors for timely execution of projects. Ensure that all projects are delivered on time and within budget. Develop a detailed project plan to monitor and track progress. Assist in defining project scope and objectives, involvingall relevant stakeholdersand ensuring technical feasibility Manage changes to the project scope, project schedule and project costs. Create and maintain comprehensive project documentation Develop spreadsheets, diagrams, and process maps.",• B. Tech/BE in Mechanical Engineering/Manufacturing/ Industrial and production   Engineering.  • Relevant experience in Manufacturing Field.  • Excellent communication|organizational|multi-tasking|planning|management and   leadership skills  • Should have good analytical skills|ability to define and implement process and   strategies in place.  • Should have good skills in office.,"['ManufacturingProcess', 'Sheet Metal', 'Structural Fabrication etcResponsibilities', 'Manage', 'Develop']"
120,BDM - Precision Manufacturing,"Strategically identify and target potential domestic and international customers within the precision manufacturing market. Convert marketing-generated leads into high-value clients through expert communication and sales techniques. Develop and execute sales strategies that leverage Custiv's unique strengths and capitalize on market insights. Prepare and deliver compelling sales proposals, skillfully negotiate pricing and terms, and consistently achieve successful deal closures.Nurture and foster enduring relationships with key decision-makers and influencers within target organizations.Expertly navigate the sales cycle, adeptly managing client RFQs, winning competitive deals, and facilitating seamless project transitions.Take full ownership of the sales pipeline, ensuring maximum order conversion to consistently surpass sales targets. Utilize CRM software effectively to track leads, opportunities, and customer interactions, ensuring accurate and up-to-date sales information.Gain a deep understanding of clients' development and procurement cycles to create innovative strategies and hacks that accelerate activities and expedite deal closures.Collaborate closely with cross-functional teams, particularly engineering and production, to comprehensively understand and fulfill customer requirements. Maintain an active engagement in market research, diligently monitoring industry trends, competitor activities, and emerging market opportunities.Employ a deep understanding of clients' product and expansion strategies to craft tailored offerings that drive new business and generate RFQs.Proactively follow up with clients to secure recurring orders, optimizing revenue potential and fostering long-term customer loyalty. Stay ahead of industry trends, proactively identifying avenues for business growth with existing and prospective clients. Provide regular, detailed, and insightful sales reports, forecasts, and updates to the management team.",Mechanical Engineering with experience working in Manufacturing sector|Experience in managing US and European customers|leveraging in-depth knowledge of their operational processes to drive strategic deal closures|Negotiations|order closing|US Visa,['Custiv']
121,Full Stack Mean Developer,"Job ResponsibilitiesAbility to translate Wireframes and PSD Designs into functional web apps using HTML5, AngularJS, React , Node.js, and MongoBinding of UI elements to JavaScript object modelsCreating RESTful services with Node.jsArchitect scalable web architecturesWork in a cross-functional team to deliver a complete user experienceCreate Unit and Integration tests to ensure the quality of codeBe responsive to change requests and feature requestsWrite code that is cross-platform and cross-device compatibleAbility to wear many hats and learn new technologies quicklyExperience4 years minimum in creating complex SAAS based solutionsDetail oriented experience as a Web Developer creating Angular based solutions1-2 years with Node.js and ExpressAbility to work both independently and in collaborative teams to communicate design and build ideas effectivelyExperience using asynchronous RESTful services (JSON)RequirementsFluent knowledge of latest HTML/CSS standards and best practicesWorking knowledge of JavaScript and AngularJSWorking knowledge of Node.js and ExpressSolid Understanding of HTTP protocol and how server-side code is processed on the clientSome experience with Photoshop or Sketch is a plus (creating sprites, optimizing, cutting or adjusting images)Working knowledge of front end optimization and performance techniquesObsession with lean, clean and organized front-end codeCross-browser development and troubleshootingExperience building Responsive websites for web, tablet and mobile devicesEye for details is crucialAble to handle multiple projects and competing deadlinesGood understanding of overall web design including basic usability, accessibility, industry standards, architecture, and navigationPortfolio of work required. Include examples of all areas of interaction design (user flows, wireframes, final graphical display)Key WordsSAAS, Mean Stack, JavaScript, Node.js, Angular",,"['Wireframes', 'Node.js', 'UI', 'JavaScript', 'Node.jsArchitect', 'Unit and Integration', 'Node.js', 'ExpressAbility', 'HTML/CSS', 'JavaScript', 'Node.js', 'Photoshop', 'JavaScript', 'Node.js']"
